[2026-06-01 19:22:14] INFO epoch 7 it 450/1704 loss nan
[2026-06-01 19:22:15] INFO epoch 7 it 500/1704 loss nan
[2026-06-01 19:22:16] INFO epoch 7 it 550/1704 loss nan
[2026-06-01 19:22:17] INFO epoch 7 it 600/1704 loss nan
[2026-06-01 19:22:18] INFO epoch 7 it 650/1704 loss nan
[2026-06-01 19:22:19] INFO epoch 7 it 700/1704 loss nan
[2026-06-01 19:22:19] INFO epoch 7 it 750/1704 loss nan
[2026-06-01 19:22:20] INFO epoch 7 it 800/1704 loss nan
[2026-06-01 19:22:21] INFO epoch 7 it 850/1704 loss nan
[2026-06-01 19:22:22] INFO epoch 7 it 900/1704 loss nan
[2026-06-01 19:22:23] INFO epoch 7 it 950/1704 loss nan
[2026-06-01 19:22:24] INFO epoch 7 it 1000/1704 loss nan
[2026-06-01 19:22:25] INFO epoch 7 it 1050/1704 loss nan
[2026-06-01 19:22:26] INFO epoch 7 it 1100/1704 loss nan
[2026-06-01 19:22:26] INFO epoch 7 it 1150/1704 loss nan
[2026-06-01 19:22:27] INFO epoch 7 it 1200/1704 loss nan
[2026-06-01 19:22:28] INFO epoch 7 it 1250/1704 loss nan
[2026-06-01 19:22:29] INFO epoch 7 it 1300/1704 loss nan
[2026-06-01 19:22:30] INFO epoch 7 it 1350/1704 loss nan
[2026-06-01 19:22:31] INFO epoch 7 it 1400/1704 loss nan
[2026-06-01 19:22:32] INFO epoch 7 it 1450/1704 loss nan
[2026-06-01 19:22:33] INFO epoch 7 it 1500/1704 loss nan
[2026-06-01 19:22:33] INFO epoch 7 it 1550/1704 loss nan
[2026-06-01 19:22:34] INFO epoch 7 it 1600/1704 loss nan
[2026-06-01 19:22:35] INFO epoch 7 it 1650/1704 loss nan
[2026-06-01 19:22:36] INFO epoch 7 it 1700/1704 loss nan
[2026-06-01 19:22:38] INFO epoch 7 done in 77.4s lr=9.84e-05 avg_train_loss=nan
[2026-06-01 19:23:24] INFO epoch 7 val MAE(HU): nan
[2026-06-01 19:24:13] INFO epoch 8 it 50/1704 loss nan
[2026-06-01 19:24:14] INFO epoch 8 it 100/1704 loss nan
[2026-06-01 19:24:15] INFO epoch 8 it 150/1704 loss nan
[2026-06-01 19:24:16] INFO epoch 8 it 200/1704 loss nan
[2026-06-01 19:24:17] INFO epoch 8 it 250/1704 loss nan
[2026-06-01 19:24:18] INFO epoch 8 it 300/1704 loss nan
[2026-06-01 19:24:18] INFO epoch 8 it 350/1704 loss nan
[2026-06-01 19:24:19] INFO epoch 8 it 400/1704 loss nan
[2026-06-01 19:24:20] INFO epoch 8 it 450/1704 loss nan
[2026-06-01 19:24:21] INFO epoch 8 it 500/1704 loss nan
[2026-06-01 19:24:22] INFO epoch 8 it 550/1704 loss nan
[2026-06-01 19:24:23] INFO epoch 8 it 600/1704 loss nan
[2026-06-01 19:24:24] INFO epoch 8 it 650/1704 loss nan
[2026-06-01 19:24:24] INFO epoch 8 it 700/1704 loss nan
[2026-06-01 19:24:25] INFO epoch 8 it 750/1704 loss nan
[2026-06-01 19:24:26] INFO epoch 8 it 800/1704 loss nan
[2026-06-01 19:24:27] INFO epoch 8 it 850/1704 loss nan
[2026-06-01 19:24:28] INFO epoch 8 it 900/1704 loss nan
[2026-06-01 19:24:29] INFO epoch 8 it 950/1704 loss nan
[2026-06-01 19:24:30] INFO epoch 8 it 1000/1704 loss nan
[2026-06-01 19:24:31] INFO epoch 8 it 1050/1704 loss nan
[2026-06-01 19:24:31] INFO epoch 8 it 1100/1704 loss nan
[2026-06-01 19:24:32] INFO epoch 8 it 1150/1704 loss nan
[2026-06-01 19:24:33] INFO epoch 8 it 1200/1704 loss nan
[2026-06-01 19:24:34] INFO epoch 8 it 1250/1704 loss nan
[2026-06-01 19:24:35] INFO epoch 8 it 1300/1704 loss nan
[2026-06-01 19:24:36] INFO epoch 8 it 1350/1704 loss nan
[2026-06-01 19:24:37] INFO epoch 8 it 1400/1704 loss nan
[2026-06-01 19:24:37] INFO epoch 8 it 1450/1704 loss nan
[2026-06-01 19:24:38] INFO epoch 8 it 1500/1704 loss nan
[2026-06-01 19:24:39] INFO epoch 8 it 1550/1704 loss nan
[2026-06-01 19:24:40] INFO epoch 8 it 1600/1704 loss nan
[2026-06-01 19:24:41] INFO epoch 8 it 1650/1704 loss nan
[2026-06-01 19:24:42] INFO epoch 8 it 1700/1704 loss nan
